stadium no,total runs,batsman runs,batsman avg,batsman strike rate,batsman 4s,batsman 6s,bowler maidens,bowler runs conceded,bowler wickets,bowler average,bowler economy,bowler strike rate
16.0,0.0,349.0,29.08,113.68,33.0,15.0,1.0,366.0,11.0,33.27,8.19,24.3
16.0,1.0,188.0,62.66,204.34,13.0,15.0,1.0,366.0,11.0,33.27,8.19,24.3
16.0,1.0,188.0,62.66,204.34,13.0,15.0,1.0,366.0,11.0,33.27,8.19,24.3
16.0,2.0,188.0,62.66,204.34,13.0,15.0,1.0,366.0,11.0,33.27,8.19,24.3
16.0,2.0,188.0,62.66,204.34,13.0,15.0,1.0,366.0,11.0,33.27,8.19,24.3
16.0,2.0,188.0,62.66,204.34,13.0,15.0,1.0,366.0,11.0,33.27,8.19,24.3
16.0,2.0,188.0,62.66,204.34,13.0,15.0,1.0,366.0,11.0,33.27,8.19,24.3
16.0,3.0,188.0,62.66,204.34,13.0,15.0,0.0,357.0,13.0,27.46,8.5,19.3
16.0,3.0,188.0,62.66,204.34,13.0,15.0,0.0,357.0,13.0,27.46,8.5,19.3
16.0,7.0,188.0,62.66,204.34,13.0,15.0,0.0,357.0,13.0,27.46,8.5,19.3
16.0,11.0,188.0,62.66,204.34,13.0,15.0,0.0,357.0,13.0,27.46,8.5,19.3
16.0,17.0,188.0,62.66,204.34,13.0,15.0,0.0,357.0,13.0,27.46,8.5,19.3
16.0,21.0,188.0,62.66,204.34,13.0,15.0,0.0,357.0,13.0,27.46,8.5,19.3
16.0,21.0,349.0,29.08,113.68,33.0,15.0,1.0,366.0,11.0,33.27,8.19,24.3
16.0,21.0,349.0,29.08,113.68,33.0,15.0,1.0,366.0,11.0,33.27,8.19,24.3
16.0,21.0,349.0,29.08,113.68,33.0,15.0,1.0,366.0,11.0,33.27,8.19,24.3
16.0,22.0,188.0,62.66,204.34,13.0,15.0,1.0,366.0,11.0,33.27,8.19,24.3
16.0,26.0,188.0,62.66,204.34,13.0,15.0,1.0,366.0,11.0,33.27,8.19,24.3
16.0,27.0,349.0,29.08,113.68,33.0,15.0,1.0,366.0,11.0,33.27,8.19,24.3
16.0,27.0,188.0,62.66,204.34,13.0,15.0,0.0,40.0,1.0,40.0,10.0,24.0
16.0,32.0,188.0,62.66,204.34,13.0,15.0,0.0,40.0,1.0,40.0,10.0,24.0
16.0,38.0,188.0,62.66,204.34,13.0,15.0,0.0,40.0,1.0,40.0,10.0,24.0
16.0,39.0,349.0,29.08,113.68,33.0,15.0,0.0,40.0,1.0,40.0,10.0,24.0
16.0,43.0,349.0,29.08,113.68,33.0,15.0,0.0,40.0,1.0,40.0,10.0,24.0
16.0,43.0,349.0,29.08,113.68,33.0,15.0,0.0,40.0,1.0,40.0,10.0,24.0
16.0,44.0,188.0,62.66,204.34,13.0,15.0,0.0,40.0,1.0,40.0,10.0,24.0
16.0,50.0,349.0,29.08,113.68,33.0,15.0,1.0,366.0,11.0,33.27,8.19,24.3
16.0,54.0,349.0,29.08,113.68,33.0,15.0,1.0,366.0,11.0,33.27,8.19,24.3
16.0,55.0,188.0,62.66,204.34,13.0,15.0,1.0,366.0,11.0,33.27,8.19,24.3
16.0,59.0,188.0,62.66,204.34,13.0,15.0,1.0,366.0,11.0,33.27,8.19,24.3
16.0,59.0,188.0,62.66,204.34,13.0,15.0,1.0,366.0,11.0,33.27,8.19,24.3
16.0,60.0,349.0,29.08,113.68,33.0,15.0,1.0,366.0,11.0,33.27,8.19,24.3
16.0,60.0,188.0,62.66,204.34,13.0,15.0,0.0,357.0,13.0,27.46,8.5,19.3
16.0,61.0,349.0,29.08,113.68,33.0,15.0,0.0,357.0,13.0,27.46,8.5,19.3
16.0,61.0,39.0,9.75,73.58,2.0,1.0,0.0,357.0,13.0,27.46,8.5,19.3
16.0,61.0,39.0,9.75,73.58,2.0,1.0,0.0,357.0,13.0,27.46,8.5,19.3
16.0,61.0,39.0,9.75,73.58,2.0,1.0,0.0,357.0,13.0,27.46,8.5,19.3
16.0,61.0,39.0,9.75,73.58,2.0,1.0,0.0,357.0,13.0,27.46,8.5,19.3
16.0,0.0,371.0,28.53,124.49,35.0,11.0,0.0,260.0,9.0,28.88,6.66,26.0
16.0,1.0,115.0,19.16,110.57,12.0,3.0,0.0,260.0,9.0,28.88,6.66,26.0
16.0,2.0,115.0,19.16,110.57,12.0,3.0,0.0,260.0,9.0,28.88,6.66,26.0
16.0,2.0,115.0,19.16,110.57,12.0,3.0,0.0,260.0,9.0,28.88,6.66,26.0
16.0,3.0,371.0,28.53,124.49,35.0,11.0,0.0,260.0,9.0,28.88,6.66,26.0
16.0,4.0,115.0,19.16,110.57,12.0,3.0,0.0,260.0,9.0,28.88,6.66,26.0
16.0,4.0,115.0,19.16,110.57,12.0,3.0,0.0,260.0,9.0,28.88,6.66,26.0
16.0,4.0,371.0,28.53,124.49,35.0,11.0,1.0,329.0,7.0,47.0,7.8,36.1
16.0,4.0,165.0,15.0,105.09,18.0,4.0,1.0,329.0,7.0,47.0,7.8,36.1
16.0,4.0,165.0,15.0,105.09,18.0,4.0,1.0,329.0,7.0,47.0,7.8,36.1
16.0,8.0,165.0,15.0,105.09,18.0,4.0,1.0,329.0,7.0,47.0,7.8,36.1
16.0,9.0,115.0,19.16,110.57,12.0,3.0,1.0,329.0,7.0,47.0,7.8,36.1
16.0,9.0,115.0,19.16,110.57,12.0,3.0,1.0,329.0,7.0,47.0,7.8,36.1
16.0,9.0,165.0,15.0,105.09,18.0,4.0,0.0,260.0,9.0,28.88,6.66,26.0
16.0,9.0,165.0,15.0,105.09,18.0,4.0,0.0,260.0,9.0,28.88,6.66,26.0
16.0,9.0,199.0,18.09,108.74,23.0,4.0,0.0,260.0,9.0,28.88,6.66,26.0
16.0,10.0,115.0,19.16,110.57,12.0,3.0,0.0,260.0,9.0,28.88,6.66,26.0
16.0,10.0,115.0,19.16,110.57,12.0,3.0,0.0,260.0,9.0,28.88,6.66,26.0
16.0,11.0,115.0,19.16,110.57,12.0,3.0,0.0,260.0,9.0,28.88,6.66,26.0
16.0,11.0,115.0,19.16,110.57,12.0,3.0,0.0,260.0,9.0,28.88,6.66,26.0
16.0,12.0,115.0,19.16,110.57,12.0,3.0,1.0,329.0,7.0,47.0,7.8,36.1
16.0,14.0,115.0,19.16,110.57,12.0,3.0,1.0,329.0,7.0,47.0,7.8,36.1
16.0,15.0,199.0,18.09,108.74,23.0,4.0,1.0,329.0,7.0,47.0,7.8,36.1
16.0,15.0,199.0,18.09,108.74,23.0,4.0,1.0,329.0,7.0,47.0,7.8,36.1
16.0,16.0,115.0,19.16,110.57,12.0,3.0,1.0,329.0,7.0,47.0,7.8,36.1
16.0,16.0,115.0,19.16,110.57,12.0,3.0,1.0,329.0,7.0,47.0,7.8,36.1
16.0,16.0,199.0,18.09,108.74,23.0,4.0,0.0,207.0,8.0,25.87,7.96,19.5
16.0,17.0,115.0,19.16,110.57,12.0,3.0,0.0,207.0,8.0,25.87,7.96,19.5
16.0,18.0,199.0,18.09,108.74,23.0,4.0,0.0,207.0,8.0,25.87,7.96,19.5
16.0,18.0,199.0,18.09,108.74,23.0,4.0,0.0,207.0,8.0,25.87,7.96,19.5
16.0,24.0,199.0,18.09,108.74,23.0,4.0,0.0,207.0,8.0,25.87,7.96,19.5
16.0,24.0,114.0,16.28,111.76,8.0,4.0,0.0,207.0,8.0,25.87,7.96,19.5
16.0,24.0,115.0,19.16,110.57,12.0,3.0,0.0,260.0,9.0,28.88,6.66,26.0
16.0,24.0,115.0,19.16,110.57,12.0,3.0,0.0,260.0,9.0,28.88,6.66,26.0
16.0,24.0,225.0,32.14,127.11,24.0,6.0,0.0,260.0,9.0,28.88,6.66,26.0
16.0,24.0,225.0,32.14,127.11,24.0,6.0,0.0,260.0,9.0,28.88,6.66,26.0
16.0,25.0,114.0,16.28,111.76,8.0,4.0,0.0,260.0,9.0,28.88,6.66,26.0
16.0,26.0,225.0,32.14,127.11,24.0,6.0,0.0,260.0,9.0,28.88,6.66,26.0
28.0,0.0,302.0,27.45,101.68,42.0,3.0,0.0,112.0,4.0,28.0,7.0,24.0
28.0,0.0,302.0,27.45,101.68,42.0,3.0,0.0,112.0,4.0,28.0,7.0,24.0
28.0,0.0,302.0,27.45,101.68,42.0,3.0,0.0,112.0,4.0,28.0,7.0,24.0
28.0,1.0,189.0,63.0,144.27,24.0,6.0,0.0,112.0,4.0,28.0,7.0,24.0
28.0,1.0,189.0,63.0,144.27,24.0,6.0,0.0,112.0,4.0,28.0,7.0,24.0
28.0,5.0,189.0,63.0,144.27,24.0,6.0,0.0,112.0,4.0,28.0,7.0,24.0
28.0,5.0,302.0,27.45,101.68,42.0,3.0,0.0,442.0,19.0,23.26,8.63,16.1
28.0,9.0,302.0,27.45,101.68,42.0,3.0,0.0,442.0,19.0,23.26,8.63,16.1
28.0,13.0,302.0,27.45,101.68,42.0,3.0,0.0,442.0,19.0,23.26,8.63,16.1
28.0,17.0,302.0,27.45,101.68,42.0,3.0,0.0,442.0,19.0,23.26,8.63,16.1
28.0,19.0,302.0,27.45,101.68,42.0,3.0,0.0,442.0,19.0,23.26,8.63,16.1
28.0,20.0,302.0,27.45,101.68,42.0,3.0,0.0,442.0,19.0,23.26,8.63,16.1
28.0,20.0,302.0,27.45,101.68,42.0,3.0,0.0,442.0,19.0,23.26,8.63,16.1
28.0,20.0,189.0,63.0,144.27,24.0,6.0,0.0,112.0,4.0,28.0,7.0,24.0
28.0,20.0,189.0,63.0,144.27,24.0,6.0,0.0,112.0,4.0,28.0,7.0,24.0
28.0,25.0,189.0,63.0,144.27,24.0,6.0,0.0,112.0,4.0,28.0,7.0,24.0
28.0,25.0,189.0,63.0,144.27,24.0,6.0,0.0,112.0,4.0,28.0,7.0,24.0
28.0,26.0,302.0,27.45,101.68,42.0,3.0,0.0,112.0,4.0,28.0,7.0,24.0
28.0,26.0,168.0,84.0,168.0,12.0,11.0,0.0,112.0,4.0,28.0,7.0,24.0
28.0,27.0,189.0,63.0,144.27,24.0,6.0,0.0,112.0,4.0,28.0,7.0,24.0
28.0,27.0,168.0,84.0,168.0,12.0,11.0,0.0,442.0,19.0,23.26,8.63,16.1
28.0,27.0,168.0,84.0,168.0,12.0,11.0,0.0,442.0,19.0,23.26,8.63,16.1
28.0,27.0,168.0,84.0,168.0,12.0,11.0,0.0,442.0,19.0,23.26,8.63,16.1
28.0,28.0,189.0,63.0,144.27,24.0,6.0,0.0,442.0,19.0,23.26,8.63,16.1
28.0,29.0,168.0,84.0,168.0,12.0,11.0,0.0,442.0,19.0,23.26,8.63,16.1
28.0,29.0,168.0,84.0,168.0,12.0,11.0,0.0,442.0,19.0,23.26,8.63,16.1
28.0,33.0,189.0,63.0,144.27,24.0,6.0,0.0,112.0,4.0,28.0,7.0,24.0
28.0,33.0,189.0,63.0,144.27,24.0,6.0,0.0,112.0,4.0,28.0,7.0,24.0
28.0,34.0,168.0,84.0,168.0,12.0,11.0,0.0,112.0,4.0,28.0,7.0,24.0
28.0,38.0,168.0,84.0,168.0,12.0,11.0,0.0,112.0,4.0,28.0,7.0,24.0
28.0,42.0,168.0,84.0,168.0,12.0,11.0,0.0,112.0,4.0,28.0,7.0,24.0
28.0,42.0,168.0,84.0,168.0,12.0,11.0,0.0,112.0,4.0,28.0,7.0,24.0
28.0,42.0,189.0,63.0,144.27,24.0,6.0,0.0,276.0,7.0,39.42,9.85,24.0
28.0,46.0,189.0,63.0,144.27,24.0,6.0,0.0,276.0,7.0,39.42,9.85,24.0
28.0,52.0,189.0,63.0,144.27,24.0,6.0,0.0,276.0,7.0,39.42,9.85,24.0
28.0,52.0,189.0,63.0,144.27,24.0,6.0,0.0,276.0,7.0,39.42,9.85,24.0
28.0,53.0,168.0,84.0,168.0,12.0,11.0,0.0,276.0,7.0,39.42,9.85,24.0
28.0,53.0,168.0,84.0,168.0,12.0,11.0,0.0,276.0,7.0,39.42,9.85,24.0
28.0,0.0,76.0,12.66,97.43,7.0,4.0,0.0,149.0,3.0,49.66,9.31,32.0
28.0,4.0,76.0,12.66,97.43,7.0,4.0,0.0,149.0,3.0,49.66,9.31,32.0
28.0,4.0,76.0,12.66,97.43,7.0,4.0,0.0,149.0,3.0,49.66,9.31,32.0
28.0,4.0,76.0,12.66,97.43,7.0,4.0,0.0,149.0,3.0,49.66,9.31,32.0
28.0,5.0,221.0,20.09,149.32,27.0,8.0,0.0,149.0,3.0,49.66,9.31,32.0
28.0,5.0,221.0,20.09,149.32,27.0,8.0,0.0,149.0,3.0,49.66,9.31,32.0
28.0,9.0,76.0,12.66,97.43,7.0,4.0,3.0,443.0,17.0,26.05,7.38,21.1
28.0,10.0,221.0,20.09,149.32,27.0,8.0,3.0,443.0,17.0,26.05,7.38,21.1
28.0,10.0,221.0,20.09,149.32,27.0,8.0,3.0,443.0,17.0,26.05,7.38,21.1
28.0,11.0,76.0,12.66,97.43,7.0,4.0,3.0,443.0,17.0,26.05,7.38,21.1
28.0,11.0,76.0,12.66,97.43,7.0,4.0,3.0,443.0,17.0,26.05,7.38,21.1
28.0,15.0,76.0,12.66,97.43,7.0,4.0,3.0,443.0,17.0,26.05,7.38,21.1
28.0,16.0,76.0,12.66,97.43,7.0,4.0,0.0,149.0,3.0,49.66,9.31,32.0
28.0,17.0,221.0,20.09,149.32,27.0,8.0,0.0,149.0,3.0,49.66,9.31,32.0
28.0,21.0,221.0,20.09,149.32,27.0,8.0,0.0,149.0,3.0,49.66,9.31,32.0
28.0,21.0,221.0,20.09,149.32,27.0,8.0,0.0,149.0,3.0,49.66,9.31,32.0
28.0,25.0,221.0,20.09,149.32,27.0,8.0,0.0,149.0,3.0,49.66,9.31,32.0
28.0,26.0,76.0,12.66,97.43,7.0,4.0,0.0,149.0,3.0,49.66,9.31,32.0
28.0,27.0,76.0,12.66,97.43,7.0,4.0,3.0,443.0,17.0,26.05,7.38,21.1
28.0,27.0,76.0,12.66,97.43,7.0,4.0,3.0,443.0,17.0,26.05,7.38,21.1
28.0,27.0,76.0,12.66,97.43,7.0,4.0,3.0,443.0,17.0,26.05,7.38,21.1
28.0,28.0,221.0,20.09,149.32,27.0,8.0,3.0,443.0,17.0,26.05,7.38,21.1
28.0,29.0,76.0,12.66,97.43,7.0,4.0,3.0,443.0,17.0,26.05,7.38,21.1
28.0,31.0,76.0,12.66,97.43,7.0,4.0,3.0,443.0,17.0,26.05,7.38,21.1
28.0,37.0,221.0,20.09,149.32,27.0,8.0,0.0,149.0,3.0,49.66,9.31,32.0
28.0,37.0,221.0,20.09,149.32,27.0,8.0,0.0,149.0,3.0,49.66,9.31,32.0
28.0,37.0,221.0,20.09,149.32,27.0,8.0,0.0,149.0,3.0,49.66,9.31,32.0
28.0,38.0,76.0,12.66,97.43,7.0,4.0,0.0,149.0,3.0,49.66,9.31,32.0
28.0,39.0,221.0,20.09,149.32,27.0,8.0,0.0,149.0,3.0,49.66,9.31,32.0
28.0,43.0,221.0,20.09,149.32,27.0,8.0,0.0,149.0,3.0,49.66,9.31,32.0
28.0,47.0,76.0,12.66,97.43,7.0,4.0,3.0,443.0,17.0,26.05,7.38,21.1
28.0,48.0,221.0,20.09,149.32,27.0,8.0,3.0,443.0,17.0,26.05,7.38,21.1
28.0,54.0,221.0,20.09,149.32,27.0,8.0,3.0,443.0,17.0,26.05,7.38,21.1
28.0,55.0,76.0,12.66,97.43,7.0,4.0,3.0,443.0,17.0,26.05,7.38,21.1
28.0,56.0,76.0,12.66,97.43,7.0,4.0,3.0,443.0,17.0,26.05,7.38,21.1
28.0,56.0,76.0,12.66,97.43,7.0,4.0,3.0,443.0,17.0,26.05,7.38,21.1
28.0,56.0,221.0,20.09,149.32,27.0,8.0,3.0,443.0,17.0,26.05,7.38,21.1
28.0,57.0,221.0,20.09,149.32,27.0,8.0,3.0,443.0,17.0,26.05,7.38,21.1
10.0,0.0,10.0,5.0,66.66,0.0,1.0,2.0,357.0,12.0,29.75,6.61,27.0
10.0,0.0,10.0,5.0,66.66,0.0,1.0,2.0,357.0,12.0,29.75,6.61,27.0
10.0,0.0,10.0,5.0,66.66,0.0,1.0,2.0,357.0,12.0,29.75,6.61,27.0
10.0,0.0,10.0,5.0,66.66,0.0,1.0,2.0,357.0,12.0,29.75,6.61,27.0
10.0,1.0,10.0,5.0,66.66,0.0,1.0,2.0,357.0,12.0,29.75,6.61,27.0
10.0,1.0,10.0,5.0,66.66,0.0,1.0,2.0,357.0,12.0,29.75,6.61,27.0
10.0,1.0,10.0,5.0,66.66,0.0,1.0,2.0,357.0,12.0,29.75,6.61,27.0
10.0,7.0,435.0,31.07,179.01,43.0,25.0,0.0,91.0,1.0,91.0,11.37,48.0
10.0,8.0,10.0,5.0,66.66,0.0,1.0,0.0,91.0,1.0,91.0,11.37,48.0
10.0,8.0,10.0,5.0,66.66,0.0,1.0,0.0,91.0,1.0,91.0,11.37,48.0
10.0,8.0,10.0,5.0,66.66,0.0,1.0,0.0,91.0,1.0,91.0,11.37,48.0
10.0,9.0,435.0,31.07,179.01,43.0,25.0,0.0,91.0,1.0,91.0,11.37,48.0
10.0,13.0,435.0,31.07,179.01,43.0,25.0,0.0,91.0,1.0,91.0,11.37,48.0
10.0,17.0,10.0,5.0,66.66,0.0,1.0,2.0,357.0,12.0,29.75,6.61,27.0
10.0,17.0,10.0,5.0,66.66,0.0,1.0,2.0,357.0,12.0,29.75,6.61,27.0
10.0,17.0,10.0,5.0,66.66,0.0,1.0,2.0,357.0,12.0,29.75,6.61,27.0
10.0,17.0,472.0,47.2,151.76,46.0,19.0,2.0,357.0,12.0,29.75,6.61,27.0
10.0,17.0,472.0,47.2,151.76,46.0,19.0,2.0,357.0,12.0,29.75,6.61,27.0
10.0,17.0,472.0,47.2,151.76,46.0,19.0,2.0,357.0,12.0,29.75,6.61,27.0
10.0,17.0,435.0,31.07,179.01,43.0,25.0,0.0,91.0,1.0,91.0,11.37,48.0
10.0,18.0,472.0,47.2,151.76,46.0,19.0,0.0,91.0,1.0,91.0,11.37,48.0
10.0,22.0,472.0,47.2,151.76,46.0,19.0,0.0,91.0,1.0,91.0,11.37,48.0
10.0,26.0,472.0,47.2,151.76,46.0,19.0,0.0,91.0,1.0,91.0,11.37,48.0
10.0,27.0,435.0,31.07,179.01,43.0,25.0,0.0,91.0,1.0,91.0,11.37,48.0
10.0,27.0,472.0,47.2,151.76,46.0,19.0,0.0,91.0,1.0,91.0,11.37,48.0
10.0,31.0,176.0,16.0,102.92,14.0,6.0,2.0,357.0,12.0,29.75,6.61,27.0
10.0,31.0,176.0,16.0,102.92,14.0,6.0,2.0,357.0,12.0,29.75,6.61,27.0
10.0,31.0,176.0,16.0,102.92,14.0,6.0,2.0,357.0,12.0,29.75,6.61,27.0
10.0,32.0,472.0,47.2,151.76,46.0,19.0,2.0,357.0,12.0,29.75,6.61,27.0
10.0,36.0,472.0,47.2,151.76,46.0,19.0,2.0,357.0,12.0,29.75,6.61,27.0
10.0,36.0,472.0,47.2,151.76,46.0,19.0,2.0,357.0,12.0,29.75,6.61,27.0
10.0,37.0,472.0,47.2,151.76,46.0,19.0,0.0,249.0,15.0,16.6,6.91,14.4
10.0,37.0,472.0,47.2,151.76,46.0,19.0,0.0,249.0,15.0,16.6,6.91,14.4
10.0,38.0,176.0,16.0,102.92,14.0,6.0,0.0,249.0,15.0,16.6,6.91,14.4
10.0,38.0,176.0,16.0,102.92,14.0,6.0,0.0,249.0,15.0,16.6,6.91,14.4
10.0,39.0,472.0,47.2,151.76,46.0,19.0,0.0,249.0,15.0,16.6,6.91,14.4
10.0,40.0,176.0,16.0,102.92,14.0,6.0,0.0,249.0,15.0,16.6,6.91,14.4
10.0,0.0,534.0,41.07,140.89,68.0,8.0,1.0,420.0,14.0,30.0,7.63,23.5
10.0,0.0,534.0,41.07,140.89,68.0,8.0,1.0,420.0,14.0,30.0,7.63,23.5
10.0,0.0,534.0,41.07,140.89,68.0,8.0,1.0,420.0,14.0,30.0,7.63,23.5
10.0,0.0,534.0,41.07,140.89,68.0,8.0,1.0,420.0,14.0,30.0,7.63,23.5
10.0,0.0,534.0,41.07,140.89,68.0,8.0,1.0,420.0,14.0,30.0,7.63,23.5
10.0,4.0,534.0,41.07,140.89,68.0,8.0,1.0,420.0,14.0,30.0,7.63,23.5
10.0,8.0,406.0,33.83,184.54,46.0,21.0,0.0,383.0,17.0,22.52,7.07,19.1
10.0,12.0,406.0,33.83,184.54,46.0,21.0,0.0,383.0,17.0,22.52,7.07,19.1
10.0,16.0,406.0,33.83,184.54,46.0,21.0,0.0,383.0,17.0,22.52,7.07,19.1
10.0,20.0,406.0,33.83,184.54,46.0,21.0,0.0,383.0,17.0,22.52,7.07,19.1
10.0,20.0,340.0,37.77,115.25,35.0,8.0,0.0,383.0,17.0,22.52,7.07,19.1
10.0,20.0,340.0,37.77,115.25,35.0,8.0,0.0,383.0,17.0,22.52,7.07,19.1
10.0,21.0,340.0,37.77,115.25,35.0,8.0,0.0,383.0,17.0,22.52,7.07,19.1
10.0,21.0,534.0,41.07,140.89,68.0,8.0,1.0,420.0,14.0,30.0,7.63,23.5
10.0,21.0,534.0,41.07,140.89,68.0,8.0,1.0,420.0,14.0,30.0,7.63,23.5
10.0,25.0,534.0,41.07,140.89,68.0,8.0,1.0,420.0,14.0,30.0,7.63,23.5
10.0,25.0,534.0,41.07,140.89,68.0,8.0,1.0,420.0,14.0,30.0,7.63,23.5
10.0,26.0,340.0,37.77,115.25,35.0,8.0,1.0,420.0,14.0,30.0,7.63,23.5
10.0,26.0,340.0,37.77,115.25,35.0,8.0,1.0,420.0,14.0,30.0,7.63,23.5
10.0,26.0,534.0,41.07,140.89,68.0,8.0,0.0,383.0,17.0,22.52,7.07,19.1
10.0,27.0,340.0,37.77,115.25,35.0,8.0,0.0,383.0,17.0,22.52,7.07,19.1
10.0,27.0,340.0,37.77,115.25,35.0,8.0,0.0,383.0,17.0,22.52,7.07,19.1
10.0,31.0,340.0,37.77,115.25,35.0,8.0,0.0,383.0,17.0,22.52,7.07,19.1
10.0,32.0,534.0,41.07,140.89,68.0,8.0,0.0,383.0,17.0,22.52,7.07,19.1
10.0,36.0,534.0,41.07,140.89,68.0,8.0,0.0,383.0,17.0,22.52,7.07,19.1
10.0,36.0,340.0,37.77,115.25,35.0,8.0,1.0,420.0,14.0,30.0,7.63,23.5
10.0,36.0,340.0,37.77,115.25,35.0,8.0,1.0,420.0,14.0,30.0,7.63,23.5
10.0,37.0,534.0,41.07,140.89,68.0,8.0,1.0,420.0,14.0,30.0,7.63,23.5
10.0,43.0,534.0,41.07,140.89,68.0,8.0,1.0,420.0,14.0,30.0,7.63,23.5
10.0,47.0,534.0,41.07,140.89,68.0,8.0,1.0,420.0,14.0,30.0,7.63,23.5
10.0,47.0,534.0,41.07,140.89,68.0,8.0,1.0,420.0,14.0,30.0,7.63,23.5
10.0,48.0,534.0,41.07,140.89,68.0,8.0,0.0,399.0,13.0,30.69,8.31,22.1
10.0,48.0,534.0,41.07,140.89,68.0,8.0,0.0,399.0,13.0,30.69,8.31,22.1
10.0,49.0,534.0,41.07,140.89,68.0,8.0,0.0,399.0,13.0,30.69,8.31,22.1
10.0,50.0,340.0,37.77,115.25,35.0,8.0,0.0,399.0,13.0,30.69,8.31,22.1
10.0,50.0,340.0,37.77,115.25,35.0,8.0,0.0,399.0,13.0,30.69,8.31,22.1
10.0,54.0,340.0,37.77,115.25,35.0,8.0,0.0,399.0,13.0,30.69,8.31,22.1
10.0,55.0,534.0,41.07,140.89,68.0,8.0,0.0,399.0,13.0,30.69,8.31,22.1
41.0,0.0,34.0,8.5,106.25,6.0,1.0,1.0,366.0,11.0,33.27,8.19,24.3
41.0,0.0,34.0,8.5,106.25,6.0,1.0,1.0,366.0,11.0,33.27,8.19,24.3
41.0,4.0,34.0,8.5,106.25,6.0,1.0,1.0,366.0,11.0,33.27,8.19,24.3
41.0,4.0,34.0,8.5,106.25,6.0,1.0,1.0,366.0,11.0,33.27,8.19,24.3
41.0,4.0,34.0,8.5,106.25,6.0,1.0,1.0,366.0,11.0,33.27,8.19,24.3
41.0,8.0,34.0,8.5,106.25,6.0,1.0,1.0,366.0,11.0,33.27,8.19,24.3
41.0,8.0,514.0,42.83,166.34,57.0,31.0,0.0,357.0,13.0,27.46,8.5,19.3
41.0,9.0,34.0,8.5,106.25,6.0,1.0,0.0,357.0,13.0,27.46,8.5,19.3
41.0,9.0,34.0,8.5,106.25,6.0,1.0,0.0,357.0,13.0,27.46,8.5,19.3
41.0,9.0,34.0,8.5,106.25,6.0,1.0,0.0,357.0,13.0,27.46,8.5,19.3
41.0,9.0,34.0,8.5,106.25,6.0,1.0,0.0,357.0,13.0,27.46,8.5,19.3
41.0,9.0,39.0,19.5,73.58,2.0,2.0,0.0,357.0,13.0,27.46,8.5,19.3
41.0,13.0,514.0,42.83,166.34,57.0,31.0,1.0,366.0,11.0,33.27,8.19,24.3
41.0,13.0,514.0,42.83,166.34,57.0,31.0,1.0,366.0,11.0,33.27,8.19,24.3
41.0,17.0,514.0,42.83,166.34,57.0,31.0,1.0,366.0,11.0,33.27,8.19,24.3
41.0,17.0,514.0,42.83,166.34,57.0,31.0,1.0,366.0,11.0,33.27,8.19,24.3
41.0,18.0,39.0,19.5,73.58,2.0,2.0,1.0,366.0,11.0,33.27,8.19,24.3
41.0,18.0,39.0,19.5,73.58,2.0,2.0,1.0,366.0,11.0,33.27,8.19,24.3
41.0,19.0,39.0,19.5,73.58,2.0,2.0,1.0,366.0,11.0,33.27,8.19,24.3
41.0,19.0,514.0,42.83,166.34,57.0,31.0,0.0,357.0,13.0,27.46,8.5,19.3
